id,name,content,difficulty
1171,Shortest Path in Binary Matrix,"['in', 'n', 'n', 'square', 'cell', 'either', 'empty', 'blocked', 'length', 'k', 'composed', 'cells', 'adjacent', 'cells', 'connected', 'different', 'edge', 'location', 'value', 'location', 'value', 'if', 'located', 'empty', 'return', 'length', 'shortest', 'clear', 'path', 'if', 'path', 'return', 'breadth-first search']",2
1170,Shortest Common Supersequence,"['given', 'two', 'strings', 'shortest', 'string', 'multiple', 'answers', 'may', 'return', 'string', 's', 'subsequence', 'string', 't', 'deleting', 'number', 'characters', 't', 'characters', 'chosen', 'anywhere', 'results', 'string', 'substring', 'delete', 'first', 'substring', 'delete', 'last', 'the', 'answer', 'provided', 'shortest', 'string', 'satisfies', 'consist', 'lowercase', 'english', 'dynamic programming']",3
1169,Largest Values From Labels,"['we', 'set', 'item', 'value', 'label', 'subset', 's', 'for', 'every', 'label', 'number', 'items', 's', 'l', 'return', 'largest', 'possible', 'sum', 'subset', 'values', 'labels', 'the', 'subset', 'chosen', 'fifth', 'values', 'labels', 'the', 'subset', 'chosen', 'third', 'values', 'labels', 'the', 'subset', 'chosen', 'first', 'fourth', 'values', 'labels', 'the', 'subset', 'chosen', 'fourth', 'hash table', 'greedy']",2
1168,Duplicate Zeros,"['given', 'fixed', 'arr', 'duplicate', 'occurrence', 'shifting', 'remaining', 'elements', 'note', 'elements', 'beyond', 'length', 'original', 'array', 'do', 'modifications', 'input', 'array', 'return', 'anything', 'after', 'calling', 'input', 'array', 'modified', 'after', 'calling', 'input', 'array', 'modified', 'array']",1
1160,Letter Tile Possibilities,"['you', 'set', 'tile', 'one', 'letter', 'printed', 'return', 'number', 'possible', 'sequences', 'letters', 'the', 'possible', 'sequences', 'tiles', 'consists', 'uppercase', 'english', 'backtracking']",2
1159,Smallest Subsequence of Distinct Characters,"['return', 'lexicographically', 'smallest', 'subsequence', 'text', 'contains', 'distinct', 'characters', 'text', 'exactly', 'text', 'consists', 'lowercase', 'english', 'string']",2
1157,Insufficient Nodes in Root to Leaf Paths,"['given', 'binary', 'consider', 'root', 'leaf', 'paths', 'leaf', 'node', 'a', 'node', 'insufficient', 'root', 'leaf', 'path', 'intersecting', 'node', 'sum', 'strictly', 'less', 'delete', 'insufficient', 'nodes', 'return', 'root', 'root', 'limit', 'root', 'limit', 'root', 'limit', 'the', 'given', 'tree', 'depth-first search']",2
1156,Occurrences After Bigram,"['given', 'words', 'first', 'consider', 'occurrences', 'form', 'second', 'second', 'comes', 'immediately', 'third', 'comes', 'immediately', 'for', 'add', 'return', 'text', 'good', 'girl', 'good', 'first', 'second', 'text', 'rock', 'first', 'second', 'text', 'consists', 'space', 'separated', 'word', 'consists', 'lowercase', 'english', 'first', 'second', 'consist', 'lowercase', 'english', 'hash table']",1
1148,Adding Two Negabinary Numbers,"['given', 'two', 'numbers', 'base', 'return', 'result', 'adding', 'each', 'number', 'given', 'array', 'array', 'significant', 'bit', 'least', 'significant', 'for', 'arr', 'represents', 'number', 'a', 'number', 'arr', 'array', 'format', 'also', 'guaranteed', 'leading', 'return', 'result', 'adding', 'array', 'leading', 'represents', 'represents', 'output', 'represents', 'leading', 'zeros', 'math']",2
1147,Flip Columns For Maximum Number of Equal Rows,"['given', 'matrix', 'consisting', 'may', 'choose', 'number', 'columns', 'matrix', 'flip', 'flipping', 'cell', 'changes', 'value', 'cell', 'return', 'maximum', 'number', 'rows', 'values', 'equal', 'number', 'after', 'flipping', 'row', 'values', 'after', 'flipping', 'values', 'first', 'rows', 'equal', 'after', 'flipping', 'values', 'first', 'two', 'last', 'two', 'rows', 'equal', 'all', 'equal', 'hash table']",2
1146,Greatest Common Divisor of Strings,"['for', 'strings', 's', 'say', 'divides', 's', 't', 'concatenated', 'return', 'largest', 'string', 'x', 'x', 'divides', 'x', 'divides', 'english', 'uppercase', 'string']",1
1145,Number of Submatrices That Sum to Target,"['given', 'return', 'number', 'submatrices', 'sum', 'a', 'submatrix', 'set', 'cells', 'x', 'two', 'submatrices', 'different', 'matrix', 'target', 'the', 'four', 'submatrices', 'contain', 'matrix', 'target', 'the', 'two', 'plus', 'two', 'plus', 'target', 'array', 'dynamic programming', 'sliding window']",3
1140,Distant Barcodes,"['in', 'row', 'barcode', 'rearrange', 'barcodes', 'two', 'adjacent', 'barcodes', 'you', 'may', 'return', 'guaranteed', 'answer', 'heap', 'sort']",2
1139,Previous Permutation With One Swap,"['given', 'array', 'a', 'positive', 'integers', 'necessarily', 'return', 'lexicographically', 'largest', 'permutation', 'smaller', 'made', 'one', 'swap', 'swap', 'exchanges', 'positions', 'two', 'numbers', 'if', 'cannot', 'return', 'swapping', 'this', 'already', 'smallest', 'swapping', 'swapping', 'array', 'greedy']",2
1138,Grumpy Bookstore Owner,"['bookstore', 'owner', 'store', 'open', 'every', 'number', 'customers', 'enter', 'customers', 'leave', 'end', 'on', 'bookstore', 'owner', 'if', 'bookstore', 'owner', 'grumpy', 'otherwise', 'when', 'bookstore', 'owner', 'customers', 'minute', 'otherwise', 'the', 'bookstore', 'owner', 'knows', 'secret', 'technique', 'keep', 'grumpy', 'use', 'return', 'maximum', 'number', 'customers', 'satisfied', 'throughout', 'customers', 'grumpy', 'x', 'bookstore', 'owner', 'keeps', 'grumpy', 'last', 'the', 'maximum', 'number', 'customers', 'satisfied', 'x', 'array', 'sliding window']",2
1137,Height Checker,"['students', 'asked', 'stand', 'order', 'heights', 'annual', 'return', 'minimum', 'number', 'students', 'standing', 'right', 'number', 'students', 'must', 'move', 'order', 'students', 'standing', 'order', 'students', 'heights', 'last', 'standing', 'right', 'array']",1
1130,Last Stone Weight II,"['we', 'collection', 'rock', 'positive', 'integer', 'each', 'choose', 'two', 'smash', 'suppose', 'stones', 'weights', 'x', 'x', 'the', 'result', 'smash', 'if', 'x', 'stones', 'totally', 'if', 'x', 'stone', 'weight', 'x', 'totally', 'stone', 'weight', 'new', 'weight', 'at', 'stone', 'return', 'smallest', 'possible', 'weight', 'stone', 'weight', 'stones', 'we', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'optimal', 'dynamic programming']",2
1129,Longest String Chain,"['given', 'list', 'word', 'consists', 'english', 'lowercase', 'say', 'predecessor', 'add', 'exactly', 'one', 'letter', 'anywhere', 'make', 'equal', 'for', 'predecessor', 'a', 'word', 'sequence', 'words', 'k', 'predecessor', 'predecessor', 'return', 'longest', 'possible', 'length', 'word', 'chain', 'words', 'chosen', 'given', 'list', 'one', 'longest', 'word', 'chain', 'consists', 'english', 'lowercase', 'hash table', 'dynamic programming']",2
1128,Remove All Adjacent Duplicates In String,"['given', 'string', 's', 'lowercase', 'duplicate', 'removal', 'consists', 'choosing', 'two', 'adjacent', 'equal', 'we', 'repeatedly', 'make', 'duplicate', 'removals', 's', 'longer', 'return', 'final', 'string', 'duplicate', 'removals', 'it', 'guaranteed', 'answer', 'for', 'could', 'remove', 'since', 'letters', 'adjacent', 'possible', 'the', 'result', 'move', 'string', 'final', 'string', 's', 'consists', 'english', 'lowercase', 'stack']",1
1127,Last Stone Weight,"['we', 'collection', 'rock', 'positive', 'integer', 'each', 'choose', 'two', 'smash', 'suppose', 'stones', 'weights', 'x', 'x', 'the', 'result', 'smash', 'if', 'x', 'stones', 'totally', 'if', 'x', 'stone', 'weight', 'x', 'totally', 'stone', 'weight', 'new', 'weight', 'at', 'stone', 'return', 'weight', 'stone', 'stones', 'we', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'value', 'last', 'heap', 'greedy']",1
1122,Longest Duplicate Substring,"['given', 'string', 'consider', 'duplicated', 'substrings', 's', 'occur', 'return', 'longest', 'possible', 's', 'duplicated', 'answer', 's', 'consists', 'lowercase', 'english', 'hash table', 'binary search']",3
1121,Partition Array for Maximum Sum,"['given', 'integer', 'array', 'partition', 'array', 'subarrays', 'length', 'after', 'subarray', 'values', 'changed', 'become', 'maximum', 'value', 'return', 'largest', 'sum', 'given', 'array', 'a', 'k', 'a', 'becomes', 'k', 'graph']",2
1120,Flower Planting With No Adjacent,"['you', 'n', 'labelled', 'in', 'want', 'plant', 'one', 'types', 'describes', 'existence', 'bidirectional', 'path', 'garden', 'x', 'garden', 'garden', 'paths', 'coming', 'leaving', 'your', 'task', 'choose', 'flower', 'type', 'garden', 'two', 'gardens', 'connected', 'different', 'types', 'return', 'choice', 'array', 'type', 'the', 'flower', 'types', 'it', 'guaranteed', 'answer', 'n', 'paths', 'n', 'paths', 'n', 'paths', 'n', 'no', 'garden', 'paths', 'coming', 'leaving', 'it', 'guaranteed', 'answer', 'graph']",1
1119,Robot Bounded In Circle,"['on', 'infinite', 'initially', 'stands', 'faces', 'robot', 'receive', 'one', 'three', 'go', 'straight', 'turn', 'degrees', 'turn', 'degress', 'the', 'robot', 'performs', 'instructions', 'given', 'repeats', 'return', 'true', 'exists', 'circle', 'plane', 'robot', 'never', 'leaves', 'true', 'the', 'robot', 'moves', 'turns', 'returns', 'when', 'repeating', 'robot', 'remains', 'circle', 'radius', 'centered', 'false', 'the', 'robot', 'moves', 'north', 'true', 'the', 'robot', 'moves', 'math']",1
1115,Valid Boomerang,"['a', 'boomerang', 'set', 'points', 'distinct', 'straight', 'given', 'three', 'points', 'return', 'whether', 'points', 'false', 'math']",1
1114,Binary Search Tree to Greater Sum Tree,"['given', 'root', 'binary', 'search', 'tree', 'distinct', 'modify', 'every', 'new', 'value', 'equal', 'sum', 'values', 'original', 'tree', 'greater', 'equal', 'as', 'search', 'tree', 'tree', 'satisfies', 'the', 'left', 'subtree', 'node', 'contains', 'nodes', 'the', 'right', 'subtree', 'node', 'contains', 'nodes', 'both', 'left', 'right', 'subtrees', 'must', 'also', 'binary', 'search', 'the', 'number', 'nodes', 'tree', 'each', 'node', 'value', 'the', 'given', 'tree', 'binary', 'search', 'binary search tree']",2
