id,name,content,difficulty
1171,Shortest Path in Binary Matrix,"['square', 'cell', 'either', 'empty', 'blocked', 'length', 'composed', 'cells', 'adjacent', 'cells', 'connected', 'different', 'edge', 'location', 'value', 'location', 'value', 'located', 'empty', 'return', 'length', 'shortest', 'clear', 'path', 'path', 'return', 'breadth-first search']",2
1170,Shortest Common Supersequence,"['two', 'strings', 'shortest', 'string', 'multiple', 'answers', 'may', 'return', 'string', 'subsequence', 'string', 'deleting', 'number', 'characters', 'characters', 'chosen', 'anywhere', 'results', 'string', 'substring', 'delete', 'first', 'substring', 'delete', 'last', 'answer', 'provided', 'shortest', 'string', 'satisfies', 'consist', 'lowercase', 'english', 'dynamic programming']",3
1169,Largest Values From Labels,"['set', 'item', 'value', 'label', 'subset', 'every', 'label', 'number', 'items', 'return', 'largest', 'possible', 'sum', 'subset', 'values', 'labels', 'subset', 'chosen', 'fifth', 'values', 'labels', 'subset', 'chosen', 'third', 'values', 'labels', 'subset', 'chosen', 'first', 'fourth', 'values', 'labels', 'subset', 'chosen', 'fourth', 'hash table', 'greedy']",2
1168,Duplicate Zeros,"['fixed', 'arr', 'duplicate', 'occurrence', 'shifting', 'remaining', 'elements', 'note', 'elements', 'beyond', 'length', 'original', 'array', 'modifications', 'input', 'array', 'return', 'anything', 'calling', 'input', 'array', 'modified', 'calling', 'input', 'array', 'modified', 'array']",1
1160,Letter Tile Possibilities,"['set', 'tile', 'one', 'letter', 'printed', 'return', 'number', 'possible', 'sequences', 'letters', 'possible', 'sequences', 'tiles', 'consists', 'uppercase', 'english', 'backtracking']",2
1159,Smallest Subsequence of Distinct Characters,"['return', 'lexicographically', 'smallest', 'subsequence', 'text', 'contains', 'distinct', 'characters', 'text', 'exactly', 'text', 'consists', 'lowercase', 'english', 'string']",2
1157,Insufficient Nodes in Root to Leaf Paths,"['binary', 'consider', 'root', 'leaf', 'paths', 'leaf', 'node', 'node', 'insufficient', 'root', 'leaf', 'path', 'intersecting', 'node', 'sum', 'strictly', 'less', 'delete', 'insufficient', 'nodes', 'return', 'root', 'root', 'limit', 'root', 'limit', 'root', 'limit', 'tree', 'depth-first search']",2
1156,Occurrences After Bigram,"['words', 'first', 'consider', 'occurrences', 'form', 'second', 'second', 'comes', 'immediately', 'third', 'comes', 'immediately', 'add', 'return', 'text', 'good', 'girl', 'good', 'first', 'second', 'text', 'rock', 'first', 'second', 'text', 'consists', 'space', 'separated', 'word', 'consists', 'lowercase', 'english', 'first', 'second', 'consist', 'lowercase', 'english', 'hash table']",1
1148,Adding Two Negabinary Numbers,"['two', 'numbers', 'base', 'return', 'result', 'adding', 'number', 'array', 'array', 'significant', 'bit', 'least', 'significant', 'arr', 'represents', 'number', 'number', 'arr', 'array', 'format', 'also', 'guaranteed', 'leading', 'return', 'result', 'adding', 'array', 'leading', 'represents', 'represents', 'output', 'represents', 'leading', 'zeros', 'math']",2
1147,Flip Columns For Maximum Number of Equal Rows,"['matrix', 'consisting', 'may', 'choose', 'number', 'columns', 'matrix', 'flip', 'flipping', 'cell', 'changes', 'value', 'cell', 'return', 'maximum', 'number', 'rows', 'values', 'equal', 'number', 'flipping', 'row', 'values', 'flipping', 'values', 'first', 'rows', 'equal', 'flipping', 'values', 'first', 'two', 'last', 'two', 'rows', 'equal', 'equal', 'hash table']",2
1146,Greatest Common Divisor of Strings,"['strings', 'say', 'divides', 'concatenated', 'return', 'largest', 'string', 'divides', 'divides', 'english', 'uppercase', 'string']",1
1145,Number of Submatrices That Sum to Target,"['return', 'number', 'submatrices', 'sum', 'submatrix', 'set', 'cells', 'two', 'submatrices', 'different', 'matrix', 'target', 'four', 'submatrices', 'contain', 'matrix', 'target', 'two', 'plus', 'two', 'plus', 'target', 'array', 'dynamic programming', 'sliding window']",3
1140,Distant Barcodes,"['row', 'barcode', 'rearrange', 'barcodes', 'two', 'adjacent', 'barcodes', 'may', 'return', 'guaranteed', 'answer', 'heap', 'sort']",2
1139,Previous Permutation With One Swap,"['array', 'positive', 'integers', 'necessarily', 'return', 'lexicographically', 'largest', 'permutation', 'smaller', 'made', 'one', 'swap', 'swap', 'exchanges', 'positions', 'two', 'numbers', 'cannot', 'return', 'swapping', 'already', 'smallest', 'swapping', 'swapping', 'array', 'greedy']",2
1138,Grumpy Bookstore Owner,"['bookstore', 'owner', 'store', 'open', 'every', 'number', 'customers', 'enter', 'customers', 'leave', 'end', 'bookstore', 'owner', 'bookstore', 'owner', 'grumpy', 'otherwise', 'bookstore', 'owner', 'customers', 'minute', 'otherwise', 'bookstore', 'owner', 'knows', 'secret', 'technique', 'keep', 'grumpy', 'use', 'return', 'maximum', 'number', 'customers', 'satisfied', 'throughout', 'customers', 'grumpy', 'bookstore', 'owner', 'keeps', 'grumpy', 'last', 'maximum', 'number', 'customers', 'satisfied', 'array', 'sliding window']",2
1137,Height Checker,"['students', 'asked', 'stand', 'order', 'heights', 'annual', 'return', 'minimum', 'number', 'students', 'standing', 'right', 'number', 'students', 'must', 'move', 'order', 'students', 'standing', 'order', 'students', 'heights', 'last', 'standing', 'right', 'array']",1
1130,Last Stone Weight II,"['collection', 'rock', 'positive', 'integer', 'choose', 'two', 'smash', 'suppose', 'stones', 'weights', 'result', 'smash', 'stones', 'totally', 'stone', 'weight', 'totally', 'stone', 'weight', 'new', 'weight', 'stone', 'return', 'smallest', 'possible', 'weight', 'stone', 'weight', 'stones', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'optimal', 'dynamic programming']",2
1129,Longest String Chain,"['list', 'word', 'consists', 'english', 'lowercase', 'say', 'predecessor', 'add', 'exactly', 'one', 'letter', 'anywhere', 'make', 'equal', 'predecessor', 'word', 'sequence', 'words', 'predecessor', 'predecessor', 'return', 'longest', 'possible', 'length', 'word', 'chain', 'words', 'chosen', 'list', 'one', 'longest', 'word', 'chain', 'consists', 'english', 'lowercase', 'hash table', 'dynamic programming']",2
1128,Remove All Adjacent Duplicates In String,"['string', 'lowercase', 'duplicate', 'removal', 'consists', 'choosing', 'two', 'adjacent', 'equal', 'repeatedly', 'make', 'duplicate', 'removals', 'longer', 'return', 'final', 'string', 'duplicate', 'removals', 'guaranteed', 'answer', 'could', 'remove', 'since', 'letters', 'adjacent', 'possible', 'result', 'move', 'string', 'final', 'string', 'consists', 'english', 'lowercase', 'stack']",1
1127,Last Stone Weight,"['collection', 'rock', 'positive', 'integer', 'choose', 'two', 'smash', 'suppose', 'stones', 'weights', 'result', 'smash', 'stones', 'totally', 'stone', 'weight', 'totally', 'stone', 'weight', 'new', 'weight', 'stone', 'return', 'weight', 'stone', 'stones', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'value', 'last', 'heap', 'greedy']",1
1122,Longest Duplicate Substring,"['string', 'consider', 'duplicated', 'substrings', 'occur', 'return', 'longest', 'possible', 'duplicated', 'answer', 'consists', 'lowercase', 'english', 'hash table', 'binary search']",3
1121,Partition Array for Maximum Sum,"['integer', 'array', 'partition', 'array', 'subarrays', 'length', 'subarray', 'values', 'changed', 'become', 'maximum', 'value', 'return', 'largest', 'sum', 'array', 'becomes', 'graph']",2
1120,Flower Planting With No Adjacent,"['labelled', 'want', 'plant', 'one', 'types', 'describes', 'existence', 'bidirectional', 'path', 'garden', 'garden', 'garden', 'paths', 'coming', 'leaving', 'task', 'choose', 'flower', 'type', 'garden', 'two', 'gardens', 'connected', 'different', 'types', 'return', 'choice', 'array', 'type', 'flower', 'types', 'guaranteed', 'answer', 'paths', 'paths', 'paths', 'garden', 'paths', 'coming', 'leaving', 'guaranteed', 'answer', 'graph']",1
1119,Robot Bounded In Circle,"['infinite', 'initially', 'stands', 'faces', 'robot', 'receive', 'one', 'three', 'go', 'straight', 'turn', 'degrees', 'turn', 'degress', 'robot', 'performs', 'instructions', 'repeats', 'return', 'true', 'exists', 'circle', 'plane', 'robot', 'never', 'leaves', 'true', 'robot', 'moves', 'turns', 'returns', 'repeating', 'robot', 'remains', 'circle', 'radius', 'centered', 'false', 'robot', 'moves', 'north', 'true', 'robot', 'moves', 'math']",1
1115,Valid Boomerang,"['boomerang', 'set', 'points', 'distinct', 'straight', 'three', 'points', 'return', 'whether', 'points', 'false', 'math']",1
1114,Binary Search Tree to Greater Sum Tree,"['root', 'binary', 'search', 'tree', 'distinct', 'modify', 'every', 'new', 'value', 'equal', 'sum', 'values', 'original', 'tree', 'greater', 'equal', 'search', 'tree', 'tree', 'satisfies', 'left', 'subtree', 'node', 'contains', 'nodes', 'right', 'subtree', 'node', 'contains', 'nodes', 'left', 'right', 'subtrees', 'must', 'also', 'binary', 'search', 'number', 'nodes', 'tree', 'node', 'value', 'tree', 'binary', 'search', 'binary search tree']",2
1113,Moving Stones Until Consecutive II,"['infinite', 'number', 'position', 'stone', 'call', 'stone', 'endpoint', 'stone', 'smallest', 'largest', 'pick', 'endpoint', 'stone', 'move', 'unoccupied', 'position', 'longer', 'endpoint', 'stones', 'stones', 'cannot', 'move', 'endpoint', 'stone', 'position', 'since', 'moving', 'position', 'still', 'keep', 'stone', 'endpoint', 'game', 'ends', 'cannot', 'make', 'stones', 'consecutive', 'game', 'minimum', 'maximum', 'number', 'moves', 'could', 'return', 'answer', 'length', 'move', 'one', 'move', 'finish', 'move', 'two', 'moves', 'finish', 'move', 'finish', 'move', 'finish', 'notice', 'cannot', 'move', 'finish', 'would', 'illegal', 'distinct', 'array', 'sliding window']",2
1111,Minimum Score Triangulation of Polygon,"['consider', 'convex', 'polygon', 'vertices', 'labelled', 'clockwise', 'suppose', 'triangulate', 'polygon', 'value', 'triangle', 'labels', 'total', 'score', 'triangulation', 'sum', 'values', 'triangles', 'return', 'smallest', 'possible', 'total', 'score', 'achieve', 'triangulation', 'polygon', 'already', 'score', 'triangle', 'two', 'possible', 'minimum', 'score', 'minimum', 'score', 'triangulation', 'score', 'dynamic programming']",2
1106,Escape a Large Maze,"['million', 'million', 'coordinates', 'grid', 'square', 'start', 'source', 'square', 'want', 'reach', 'target', 'walk', 'adjacent', 'square', 'grid', 'list', 'blocked', 'return', 'true', 'possible', 'reach', 'target', 'square', 'sequence', 'blocked', 'source', 'target', 'target', 'square', 'inaccessible', 'starting', 'source', 'walk', 'outside', 'blocked', 'source', 'target', 'blocked', 'possible', 'reach', 'target', 'source', 'target', 'breadth-first search']",3
1105,Uncrossed Lines,"['write', 'integers', 'order', 'two', 'separate', 'horizontal', 'may', 'draw', 'connecting', 'straight', 'line', 'connecting', 'two', 'numbers', 'line', 'draw', 'intersect', 'connecting', 'note', 'connecting', 'lines', 'cannot', 'intersect', 'even', 'number', 'belong', 'one', 'connecting', 'return', 'maximum', 'number', 'connecting', 'lines', 'draw', 'draw', 'uncrossed', 'lines', 'cannot', 'draw', 'uncrossed', 'line', 'intersect', 'line', 'array']",2
