id,name,content,difficulty
1171,Shortest Path in Binary Matrix,"['In', 'N', 'N', 'square', 'cell', 'either', 'empty', 'blocked', 'length', 'k', 'composed', 'cells', 'Adjacent', 'cells', 'connected', 'different', 'edge', 'location', 'value', 'location', 'value', 'If', 'located', 'empty', 'Return', 'length', 'shortest', 'clear', 'path', 'If', 'path', 'return', 'Example', 'Example']",2
1170,Shortest Common Supersequence,"['Given', 'two', 'strings', 'shortest', 'string', 'multiple', 'answers', 'may', 'return', 'string', 'S', 'subsequence', 'string', 'T', 'deleting', 'number', 'characters', 'T', 'characters', 'chosen', 'anywhere', 'results', 'string', 'Example', 'substring', 'delete', 'first', 'substring', 'delete', 'last', 'The', 'answer', 'provided', 'shortest', 'string', 'satisfies', 'consist', 'lowercase', 'English']",3
1169,Largest Values From Labels,"['We', 'set', 'item', 'value', 'label', 'subset', 'S', 'For', 'every', 'label', 'number', 'items', 'S', 'L', 'Return', 'largest', 'possible', 'sum', 'subset', 'Example', 'values', 'labels', 'The', 'subset', 'chosen', 'fifth', 'Example', 'values', 'labels', 'The', 'subset', 'chosen', 'third', 'Example', 'values', 'labels', 'The', 'subset', 'chosen', 'first', 'fourth', 'Example', 'values', 'labels', 'The', 'subset', 'chosen', 'fourth']",2
1168,Duplicate Zeros,"['Given', 'fixed', 'arr', 'duplicate', 'occurrence', 'shifting', 'remaining', 'elements', 'Note', 'elements', 'beyond', 'length', 'original', 'array', 'Do', 'modifications', 'input', 'array', 'return', 'anything', 'Example', 'After', 'calling', 'input', 'array', 'modified', 'Example', 'After', 'calling', 'input', 'array', 'modified']",1
1160,Letter Tile Possibilities,"['You', 'set', 'tile', 'one', 'letter', 'printed', 'Return', 'number', 'possible', 'sequences', 'letters', 'Example', 'The', 'possible', 'sequences', 'Example', 'tiles', 'consists', 'uppercase', 'English']",2
1159,Smallest Subsequence of Distinct Characters,"['Return', 'lexicographically', 'smallest', 'subsequence', 'text', 'contains', 'distinct', 'characters', 'text', 'exactly', 'Example', 'Example', 'Example', 'Example', 'text', 'consists', 'lowercase', 'English']",2
1157,Insufficient Nodes in Root to Leaf Paths,"['Given', 'binary', 'consider', 'root', 'leaf', 'paths', 'leaf', 'node', 'A', 'node', 'insufficient', 'root', 'leaf', 'path', 'intersecting', 'node', 'sum', 'strictly', 'less', 'Delete', 'insufficient', 'nodes', 'return', 'root', 'Example', 'root', 'limit', 'Example', 'root', 'limit', 'Example', 'root', 'limit', 'The', 'given', 'tree']",2
1156,Occurrences After Bigram,"['Given', 'words', 'first', 'consider', 'occurrences', 'form', 'second', 'second', 'comes', 'immediately', 'third', 'comes', 'immediately', 'For', 'add', 'return', 'Example', 'text', 'good', 'girl', 'good', 'first', 'second', 'Example', 'text', 'rock', 'first', 'second', 'text', 'consists', 'space', 'separated', 'word', 'consists', 'lowercase', 'English', 'first', 'second', 'consist', 'lowercase', 'English']",1
1148,Adding Two Negabinary Numbers,"['Given', 'two', 'numbers', 'base', 'return', 'result', 'adding', 'Each', 'number', 'given', 'array', 'array', 'significant', 'bit', 'least', 'significant', 'For', 'arr', 'represents', 'number', 'A', 'number', 'arr', 'array', 'format', 'also', 'guaranteed', 'leading', 'Return', 'result', 'adding', 'array', 'leading', 'Example', 'represents', 'represents', 'output', 'represents', 'leading', 'zeros']",2
1147,Flip Columns For Maximum Number of Equal Rows,"['Given', 'matrix', 'consisting', 'may', 'choose', 'number', 'columns', 'matrix', 'flip', 'Flipping', 'cell', 'changes', 'value', 'cell', 'Return', 'maximum', 'number', 'rows', 'values', 'equal', 'number', 'Example', 'After', 'flipping', 'row', 'values', 'Example', 'After', 'flipping', 'values', 'first', 'rows', 'equal', 'Example', 'After', 'flipping', 'values', 'first', 'two', 'last', 'two', 'rows', 'equal', 'All', 'equal']",2
1146,Greatest Common Divisor of Strings,"['For', 'strings', 'S', 'say', 'divides', 'S', 'T', 'concatenated', 'Return', 'largest', 'string', 'X', 'X', 'divides', 'X', 'divides', 'Example', 'Example', 'Example', 'English', 'uppercase']",1
1145,Number of Submatrices That Sum to Target,"['Given', 'return', 'number', 'submatrices', 'sum', 'A', 'submatrix', 'set', 'cells', 'x', 'Two', 'submatrices', 'different', 'Example', 'matrix', 'target', 'The', 'four', 'submatrices', 'contain', 'Example', 'matrix', 'target', 'The', 'two', 'plus', 'two', 'plus', 'target']",3
1140,Distant Barcodes,"['In', 'row', 'barcode', 'Rearrange', 'barcodes', 'two', 'adjacent', 'barcodes', 'You', 'may', 'return', 'guaranteed', 'answer', 'Example', 'Example']",2
1139,Previous Permutation With One Swap,"['Given', 'array', 'A', 'positive', 'integers', 'necessarily', 'return', 'lexicographically', 'largest', 'permutation', 'smaller', 'made', 'one', 'swap', 'swap', 'exchanges', 'positions', 'two', 'numbers', 'If', 'cannot', 'return', 'Example', 'Swapping', 'Example', 'This', 'already', 'smallest', 'Example', 'Swapping', 'Example', 'Swapping']",2
1138,Grumpy Bookstore Owner,"['bookstore', 'owner', 'store', 'open', 'Every', 'number', 'customers', 'enter', 'customers', 'leave', 'end', 'On', 'bookstore', 'owner', 'If', 'bookstore', 'owner', 'grumpy', 'otherwise', 'When', 'bookstore', 'owner', 'customers', 'minute', 'otherwise', 'The', 'bookstore', 'owner', 'knows', 'secret', 'technique', 'keep', 'grumpy', 'use', 'Return', 'maximum', 'number', 'customers', 'satisfied', 'throughout', 'Example', 'customers', 'grumpy', 'X', 'bookstore', 'owner', 'keeps', 'grumpy', 'last', 'The', 'maximum', 'number', 'customers', 'satisfied', 'X']",2
1137,Height Checker,"['Students', 'asked', 'stand', 'order', 'heights', 'annual', 'Return', 'minimum', 'number', 'students', 'standing', 'right', 'number', 'students', 'must', 'move', 'order', 'students', 'standing', 'order', 'Example', 'Students', 'heights', 'last', 'standing', 'right']",1
1130,Last Stone Weight II,"['We', 'collection', 'rock', 'positive', 'integer', 'Each', 'choose', 'two', 'smash', 'Suppose', 'stones', 'weights', 'x', 'x', 'The', 'result', 'smash', 'If', 'x', 'stones', 'totally', 'If', 'x', 'stone', 'weight', 'x', 'totally', 'stone', 'weight', 'new', 'weight', 'At', 'stone', 'Return', 'smallest', 'possible', 'weight', 'stone', 'weight', 'stones', 'Example', 'We', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'optimal']",2
1129,Longest String Chain,"['Given', 'list', 'word', 'consists', 'English', 'lowercase', 'say', 'predecessor', 'add', 'exactly', 'one', 'letter', 'anywhere', 'make', 'equal', 'For', 'predecessor', 'A', 'word', 'sequence', 'words', 'k', 'predecessor', 'predecessor', 'Return', 'longest', 'possible', 'length', 'word', 'chain', 'words', 'chosen', 'given', 'list', 'Example', 'one', 'longest', 'word', 'chain', 'consists', 'English', 'lowercase']",2
1128,Remove All Adjacent Duplicates In String,"['Given', 'string', 'S', 'lowercase', 'duplicate', 'removal', 'consists', 'choosing', 'two', 'adjacent', 'equal', 'We', 'repeatedly', 'make', 'duplicate', 'removals', 'S', 'longer', 'Return', 'final', 'string', 'duplicate', 'removals', 'It', 'guaranteed', 'answer', 'Example', 'For', 'could', 'remove', 'since', 'letters', 'adjacent', 'possible', 'The', 'result', 'move', 'string', 'final', 'string', 'S', 'consists', 'English', 'lowercase']",1
1127,Last Stone Weight,"['We', 'collection', 'rock', 'positive', 'integer', 'Each', 'choose', 'two', 'smash', 'Suppose', 'stones', 'weights', 'x', 'x', 'The', 'result', 'smash', 'If', 'x', 'stones', 'totally', 'If', 'x', 'stone', 'weight', 'x', 'totally', 'stone', 'weight', 'new', 'weight', 'At', 'stone', 'Return', 'weight', 'stone', 'stones', 'Example', 'We', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'combine', 'get', 'array', 'converts', 'value', 'last']",1
1122,Longest Duplicate Substring,"['Given', 'string', 'consider', 'duplicated', 'substrings', 'S', 'occur', 'Return', 'longest', 'possible', 'S', 'duplicated', 'answer', 'Example', 'Example', 'S', 'consists', 'lowercase', 'English']",3
1121,Partition Array for Maximum Sum,"['Given', 'integer', 'array', 'partition', 'array', 'subarrays', 'length', 'After', 'subarray', 'values', 'changed', 'become', 'maximum', 'value', 'Return', 'largest', 'sum', 'given', 'array', 'Example', 'A', 'K', 'A', 'becomes', 'K']",2
1120,Flower Planting With No Adjacent,"['You', 'N', 'labelled', 'In', 'want', 'plant', 'one', 'types', 'describes', 'existence', 'bidirectional', 'path', 'garden', 'x', 'garden', 'garden', 'paths', 'coming', 'leaving', 'Your', 'task', 'choose', 'flower', 'type', 'garden', 'two', 'gardens', 'connected', 'different', 'types', 'Return', 'choice', 'array', 'type', 'The', 'flower', 'types', 'It', 'guaranteed', 'answer', 'Example', 'N', 'paths', 'Example', 'N', 'paths', 'Example', 'N', 'paths', 'N', 'No', 'garden', 'paths', 'coming', 'leaving', 'It', 'guaranteed', 'answer']",1
1119,Robot Bounded In Circle,"['On', 'infinite', 'initially', 'stands', 'faces', 'robot', 'receive', 'one', 'three', 'go', 'straight', 'turn', 'degrees', 'turn', 'degress', 'The', 'robot', 'performs', 'instructions', 'given', 'repeats', 'Return', 'true', 'exists', 'circle', 'plane', 'robot', 'never', 'leaves', 'Example', 'true', 'The', 'robot', 'moves', 'turns', 'returns', 'When', 'repeating', 'robot', 'remains', 'circle', 'radius', 'centered', 'Example', 'false', 'The', 'robot', 'moves', 'north', 'Example', 'true', 'The', 'robot', 'moves']",1
1115,Valid Boomerang,"['A', 'boomerang', 'set', 'points', 'distinct', 'straight', 'Given', 'three', 'points', 'return', 'whether', 'points', 'Example', 'Example', 'false']",1
1114,Binary Search Tree to Greater Sum Tree,"['Given', 'root', 'binary', 'search', 'tree', 'distinct', 'modify', 'every', 'new', 'value', 'equal', 'sum', 'values', 'original', 'tree', 'greater', 'equal', 'As', 'search', 'tree', 'tree', 'satisfies', 'The', 'left', 'subtree', 'node', 'contains', 'nodes', 'The', 'right', 'subtree', 'node', 'contains', 'nodes', 'Both', 'left', 'right', 'subtrees', 'must', 'also', 'binary', 'search', 'Example', 'The', 'number', 'nodes', 'tree', 'Each', 'node', 'value', 'The', 'given', 'tree', 'binary', 'search']",2
1113,Moving Stones Until Consecutive II,"['On', 'infinite', 'number', 'position', 'stone', 'given', 'Call', 'stone', 'endpoint', 'stone', 'smallest', 'largest', 'Each', 'pick', 'endpoint', 'stone', 'move', 'unoccupied', 'position', 'longer', 'endpoint', 'In', 'stones', 'stones', 'cannot', 'move', 'endpoint', 'stone', 'position', 'since', 'moving', 'position', 'still', 'keep', 'stone', 'endpoint', 'The', 'game', 'ends', 'cannot', 'make', 'stones', 'consecutive', 'When', 'game', 'minimum', 'maximum', 'number', 'moves', 'could', 'Return', 'answer', 'length', 'Example', 'We', 'move', 'one', 'move', 'finish', 'move', 'two', 'moves', 'finish', 'Example', 'We', 'move', 'finish', 'move', 'finish', 'Notice', 'cannot', 'move', 'finish', 'would', 'illegal', 'Example', 'distinct']",2
1111,Minimum Score Triangulation of Polygon,"['Given', 'consider', 'convex', 'polygon', 'vertices', 'labelled', 'clockwise', 'Suppose', 'triangulate', 'polygon', 'For', 'value', 'triangle', 'labels', 'total', 'score', 'triangulation', 'sum', 'values', 'triangles', 'Return', 'smallest', 'possible', 'total', 'score', 'achieve', 'triangulation', 'Example', 'The', 'polygon', 'already', 'score', 'triangle', 'Example', 'There', 'two', 'possible', 'The', 'minimum', 'score', 'Example', 'The', 'minimum', 'score', 'triangulation', 'score']",2
1106,Escape a Large Maze,"['In', 'million', 'million', 'coordinates', 'grid', 'square', 'We', 'start', 'source', 'square', 'want', 'reach', 'target', 'Each', 'walk', 'adjacent', 'square', 'grid', 'given', 'list', 'blocked', 'Return', 'true', 'possible', 'reach', 'target', 'square', 'sequence', 'Example', 'blocked', 'source', 'target', 'The', 'target', 'square', 'inaccessible', 'starting', 'source', 'walk', 'outside', 'Example', 'blocked', 'source', 'target', 'Because', 'blocked', 'possible', 'reach', 'target', 'source', 'target']",3
1105,Uncrossed Lines,"['We', 'write', 'integers', 'A', 'order', 'two', 'separate', 'horizontal', 'may', 'draw', 'connecting', 'straight', 'line', 'connecting', 'two', 'numbers', 'The', 'line', 'draw', 'intersect', 'connecting', 'Note', 'connecting', 'lines', 'cannot', 'intersect', 'even', 'number', 'belong', 'one', 'connecting', 'Return', 'maximum', 'number', 'connecting', 'lines', 'draw', 'Example', 'A', 'B', 'We', 'draw', 'uncrossed', 'lines', 'We', 'cannot', 'draw', 'uncrossed', 'line', 'intersect', 'line', 'Example', 'A', 'B', 'Example', 'A', 'B']",2
1104,Coloring A Border,"['Given', 'value', 'grid', 'represents', 'color', 'grid', 'square', 'Two', 'squares', 'belong', 'connected', 'component', 'color', 'next', 'connected', 'component', 'squares', 'connected', 'component', 'adjacent', 'square', 'boundary', 'grid', 'first', 'last', 'row', 'Given', 'square', 'grid', 'color', 'connected', 'component', 'square', 'given', 'return', 'final', 'Example', 'grid', 'color', 'Example', 'grid', 'color', 'Example', 'grid', 'color', 'color']",2
1103,Moving Stones Until Consecutive,"['Three', 'stones', 'number', 'line', 'positions', 'Each', 'pick', 'stone', 'endpoint', 'either', 'lowest', 'highest', 'position', 'move', 'unoccupied', 'position', 'say', 'stones', 'currently', 'positions', 'z', 'x', 'You', 'pick', 'stone', 'either', 'position', 'x', 'position', 'move', 'stone', 'integer', 'position', 'x', 'k', 'z', 'k', 'The', 'game', 'ends', 'cannot', 'make', 'stones', 'consecutive', 'When', 'game', 'minimum', 'maximum', 'number', 'moves', 'could', 'Return', 'answer', 'length', 'answer', 'Example', 'b', 'c', 'Move', 'stone', 'move', 'stone', 'Example', 'b', 'c', 'We', 'cannot', 'make', 'Example', 'b', 'c', 'Move', 'stone', 'move', 'stone', 'b', 'c', 'b', 'c']",1
1097,Stream of Characters,"['Implement', 'StreamChecker', 'class', 'init', 'data', 'structure', 'given', 'returns', 'true', 'k', 'last', 'queried', 'order', 'oldest', 'including', 'letter', 'spell', 'one', 'words', 'given', 'StreamChecker', 'streamChecker', 'new', 'init', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'return', 'Words', 'consist', 'lowercase', 'English', 'Queries', 'consist', 'lowercase', 'English', 'The', 'number', 'queries']",3
